# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FHVEC    = Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# 
STN,YYYYMMDD,FHVEC
  344,20160501,   15
  344,20160502,   44
  344,20160503,   33
  344,20160504,   23
  344,20160505,   36
  344,20160506,   31
  344,20160507,   29
  344,20160508,   53
  344,20160509,   61
  344,20160510,   34
  344,20160511,   37
  344,20160512,   51
  344,20160513,   50
  344,20160514,   53
  344,20160515,   42
  344,20160516,   19
  344,20160517,   39
  344,20160518,   25
  344,20160519,   28
  344,20160520,   50
  344,20160521,   51
  344,20160522,   17
  344,20160523,   46
  344,20160524,   44
  344,20160525,   16
  344,20160526,   15
  344,20160527,   32
  344,20160528,   25
  344,20160529,   33
  344,20160530,   62
  344,20160531,   28
  344,20160601,   37
  344,20160602,   54
  344,20160603,   23
  344,20160604,   16
  344,20160605,   31
  344,20160606,   27
  344,20160607,   33
  344,20160608,   32
  344,20160609,   30
  344,20160610,   15
  344,20160611,   14
  344,20160612,   13
  344,20160613,   41
  344,20160614,   33
  344,20160615,   22
  344,20160616,    3
  344,20160617,   11
  344,20160618,   34
  344,20160619,   23
  344,20160620,   53
  344,20160621,   25
  344,20160622,   28
  344,20160623,   12
  344,20160624,   30
  344,20160625,   25
  344,20160626,   43
  344,20160627,   31
  344,20160628,   23
  344,20160629,   62
  344,20160630,   54
  344,20160701,   68
  344,20160702,   63
  344,20160703,   37
  344,20160704,   15
  344,20160705,   48
  344,20160706,   23
  344,20160707,   27
  344,20160708,   50
  344,20160709,   45
  344,20160710,   45
  344,20160711,   87
  344,20160712,   37
  344,20160713,   26
  344,20160714,   32
  344,20160715,   38
  344,20160716,   43
  344,20160717,   26
  344,20160718,   11
  344,20160719,   28
  344,20160720,   19
  344,20160721,   25
  344,20160722,   16
  344,20160723,   24
  344,20160724,   22
  344,20160725,   30
  344,20160726,   18
  344,20160727,   42
  344,20160728,   30
  344,20160729,   52
  344,20160730,   17
  344,20160731,   25
  344,20160801,   27
  344,20160802,   32
  344,20160803,   76
  344,20160804,   61
  344,20160805,   31
  344,20160806,   25
  344,20160807,   61
  344,20160808,   45
  344,20160809,   24
  344,20160810,   16
  344,20160811,   41
  344,20160812,   50
  344,20160813,   39
  344,20160814,   20
  344,20160815,   26
  344,20160816,   37
  344,20160817,   38
  344,20160818,   28
  344,20160819,   24
  344,20160820,   59
  344,20160821,   60
  344,20160822,   60
  344,20160823,   20
  344,20160824,   25
  344,20160825,   18
  344,20160826,   19
  344,20160827,   40
  344,20160828,   52
  344,20160829,   21
  344,20160830,    1
  344,20160831,   16
  344,20160901,   22
  344,20160902,   42
  344,20160903,   40
  344,20160904,   62
  344,20160905,   19
  344,20160906,   23
  344,20160907,   12
  344,20160908,   30
  344,20160909,   27
  344,20160910,   30
  344,20160911,   11
  344,20160912,   14
  344,20160913,   27
  344,20160914,   10
  344,20160915,   10
  344,20160916,   44
  344,20160917,    8
  344,20160918,   26
  344,20160919,    7
  344,20160920,   14
  344,20160921,   22
  344,20160922,   16
  344,20160923,   21
  344,20160924,   41
  344,20160925,   39
  344,20160926,   10
  344,20160927,   35
  344,20160928,   69
  344,20160929,   68
  344,20160930,   39
  344,20161001,   38
  344,20161002,   35
  344,20161003,   25
  344,20161004,   46
  344,20161005,   57
  344,20161006,   43
  344,20161007,   37
  344,20161008,   23
  344,20161009,   12
  344,20161010,   16
  344,20161011,   14
  344,20161012,   50
  344,20161013,   61
  344,20161014,   46
  344,20161015,   34
  344,20161016,   36
  344,20161017,   32
  344,20161018,   42
  344,20161019,   29
  344,20161020,   23
  344,20161021,    9
  344,20161022,   11
  344,20161023,   16
  344,20161024,   29
  344,20161025,   11
  344,20161026,   27
  344,20161027,   43
  344,20161028,   36
  344,20161029,    4
  344,20161030,    7
  344,20161031,    8
  344,20161101,   12
  344,20161102,   30
  344,20161103,   27
  344,20161104,   51
  344,20161105,   23
  344,20161106,   29
  344,20161107,   27
  344,20161108,   25
  344,20161109,   28
  344,20161110,   16
  344,20161111,   24
  344,20161112,   38
  344,20161113,   25
  344,20161114,   35
  344,20161115,   36
  344,20161116,   55
  344,20161117,   64
  344,20161118,   73
  344,20161119,   66
  344,20161120,   67
  344,20161121,   59
  344,20161122,   66
  344,20161123,   29
  344,20161124,   74
  344,20161125,   52
  344,20161126,   11
  344,20161127,   19
  344,20161128,   33
  344,20161129,   11
  344,20161130,   27
  344,20161201,   33
  344,20161202,   19
  344,20161203,    6
  344,20161204,   31
  344,20161205,   12
  344,20161206,   16
  344,20161207,   52
  344,20161208,   56
  344,20161209,   49
  344,20161210,   53
  344,20161211,   49
  344,20161212,   27
  344,20161213,   39
  344,20161214,   21
  344,20161215,   37
  344,20161216,   22
  344,20161217,   18
  344,20161218,   24
  344,20161219,   23
  344,20161220,   18
  344,20161221,   66
  344,20161222,   40
  344,20161223,   65
  344,20161224,   74
  344,20161225,   94
  344,20161226,   74
  344,20161227,   32
  344,20161228,   21
  344,20161229,   24
  344,20161230,   30
  344,20161231,   43
  344,20170101,   46
  344,20170102,   24
  344,20170103,   55
  344,20170104,   69
  344,20170105,   21
  344,20170106,   34
  344,20170107,   35
  344,20170108,    6
  344,20170109,   53
  344,20170110,   24
  344,20170111,   73
  344,20170112,   45
  344,20170113,   67
  344,20170114,   49
  344,20170115,   11
  344,20170116,   19
  344,20170117,   19
  344,20170118,   18
  344,20170119,   14
  344,20170120,   25
  344,20170121,   24
  344,20170122,    3
  344,20170123,   22
  344,20170124,   11
  344,20170125,   27
  344,20170126,   27
  344,20170127,   37
  344,20170128,   47
  344,20170129,   52
  344,20170130,   11
  344,20170131,   23
  344,20170201,   45
  344,20170202,   53
  344,20170203,   44
  344,20170204,   14
  344,20170205,   11
  344,20170206,    9
  344,20170207,   42
  344,20170208,   47
  344,20170209,   50
  344,20170210,   38
  344,20170211,   40
  344,20170212,   54
  344,20170213,   65
  344,20170214,   38
  344,20170215,   25
  344,20170216,   44
  344,20170217,   35
  344,20170218,   21
  344,20170219,   41
  344,20170220,   57
  344,20170221,   51
  344,20170222,   92
  344,20170223,  105
  344,20170224,   38
  344,20170225,   70
  344,20170226,   74
  344,20170227,   79
  344,20170228,   72
  344,20170301,   43
  344,20170302,   84
  344,20170303,   42
  344,20170304,   35
  344,20170305,   64
  344,20170306,   14
  344,20170307,   28
  344,20170308,   35
  344,20170309,   39
  344,20170310,   19
  344,20170311,   19
  344,20170312,   20
  344,20170313,   19
